test_idx,degree,format,learning_rate,max_iter,cycles,hw_loss,golden_loss,max_abs_err_vs_golden,mean_abs_err_vs_golden,max_abs_err_vs_true,mean_abs_err_vs_true,true_0,golden_0,hw_0,abs_err_vs_golden_0,abs_err_vs_true_0,true_1,golden_1,hw_1,abs_err_vs_golden_1,abs_err_vs_true_1,true_2,golden_2,hw_2,abs_err_vs_golden_2,abs_err_vs_true_2,true_3,golden_3,hw_3,abs_err_vs_golden_3,abs_err_vs_true_3
0,3,FP64,1.000000e-02,900,1974092,4.269264e-01,6.754374e-02,9.2329e-01,4.7866e-01,9.7264e-01,5.0555e-01,-0.75275929,-0.73402820,-0.25460198,4.7943e-01,4.9816e-01,2.70428584,2.65493217,1.73164654,9.2329e-01,9.7264e-01,1.39196365,1.38270003,1.23872296,1.4398e-01,1.5324e-01,0.59195091,0.62218548,0.99012543,3.6794e-01,3.9817e-01
0,3,FP32,1.000000e-02,900,1974092,4.269265e-01,6.754374e-02,9.2329e-01,4.7866e-01,9.7264e-01,5.0555e-01,-0.75275929,-0.73402820,-0.25460196,4.7943e-01,4.9816e-01,2.70428584,2.65493217,1.73164642,9.2329e-01,9.7264e-01,1.39196365,1.38270003,1.23872304,1.4398e-01,1.5324e-01,0.59195091,0.62218548,0.99012548,3.6794e-01,3.9817e-01
0,3,FP16,1.000000e-02,900,1974092,4.261778e-01,6.754374e-02,8.9614e-01,4.8143e-01,9.4550e-01,5.0833e-01,-0.75275929,-0.73402820,-0.22521973,5.0881e-01,5.2754e-01,2.70428584,2.65493217,1.75878906,8.9614e-01,9.4550e-01,1.39196365,1.38270003,1.22070312,1.6200e-01,1.7126e-01,0.59195091,0.62218548,0.98095703,3.5877e-01,3.8901e-01
0,3,FP16ALT,1.000000e-02,900,1974092,1.393984e+00,6.754374e-02,1.7018e+00,9.5827e-01,1.7512e+00,9.8516e-01,-0.75275929,-0.73402820,0.33203125,1.0661e+00,1.0848e+00,2.70428584,2.65493217,0.95312500,1.7018e+00,1.7512e+00,1.39196365,1.38270003,1.00000000,3.8270e-01,3.9196e-01,0.59195091,0.62218548,1.30468750,6.8250e-01,7.1274e-01
1,3,FP64,1.000000e-02,900,1974092,9.827643e-02,9.401330e-02,9.5296e-02,3.5286e-02,7.6212e-02,4.1331e-02,-2.06388816,-2.08297295,-1.98767661,9.5296e-02,7.6212e-02,-2.06403288,-2.03290962,-2.02971995,3.1897e-03,3.4313e-02,-2.65149833,-2.65084493,-2.69275513,4.1910e-02,4.1257e-02,2.19705687,2.18276382,2.18351238,7.4856e-04,1.3544e-02
1,3,FP32,1.000000e-02,900,1974092,9.827639e-02,9.401330e-02,9.5296e-02,3.5286e-02,7.6211e-02,4.1331e-02,-2.06388816,-2.08297295,-1.98767686,9.5296e-02,7.6211e-02,-2.06403288,-2.03290962,-2.02972054,3.1891e-03,3.4312e-02,-2.65149833,-2.65084493,-2.69275475,4.1910e-02,4.1256e-02,2.19705687,2.18276382,2.18351269,7.4887e-04,1.3544e-02
1,3,FP16,1.000000e-02,900,1974092,1.453546e-01,9.401330e-02,3.8154e-01,1.4170e-01,4.1267e-01,1.5767e-01,-2.06388816,-2.08297295,-2.09375000,1.0777e-02,2.9862e-02,-2.06403288,-2.03290962,-1.65136719,3.8154e-01,4.1267e-01,-2.65149833,-2.65084493,-2.67968750,2.8843e-02,2.8189e-02,2.19705687,2.18276382,2.03710938,1.4565e-01,1.5995e-01
1,3,FP16ALT,1.000000e-02,900,1974092,1.826057e-01,9.401330e-02,3.9228e-01,1.7097e-01,4.2341e-01,1.7771e-01,-2.06388816,-2.08297295,-2.00000000,8.2973e-02,6.3888e-02,-2.06403288,-2.03290962,-1.64062500,3.9228e-01,4.2341e-01,-2.65149833,-2.65084493,-2.62500000,2.5845e-02,2.6498e-02,2.19705687,2.18276382,2.00000000,1.8276e-01,1.9706e-01
2,3,FP64,1.000000e-02,900,1974092,8.769224e-02,7.905098e-02,1.1205e-01,4.0913e-02,8.4184e-02,3.8230e-02,0.60669007,0.57882361,0.69087406,1.1205e-01,8.4184e-02,1.24843547,1.23142797,1.24073550,9.3075e-03,7.7000e-03,-2.87649303,-2.88338048,-2.91337098,2.9991e-02,3.6878e-02,2.81945911,2.83131176,2.84361563,1.2304e-02,2.4157e-02
2,3,FP32,1.000000e-02,900,1974092,8.769225e-02,7.905098e-02,1.1205e-01,4.0913e-02,8.4185e-02,3.8230e-02,0.60669007,0.57882361,0.69087481,1.1205e-01,8.4185e-02,1.24843547,1.23142797,1.24073517,9.3072e-03,7.7003e-03,-2.87649303,-2.88338048,-2.91337132,2.9991e-02,3.6878e-02,2.81945911,2.83131176,2.84361553,1.2304e-02,2.4156e-02
2,3,FP16,1.000000e-02,900,1974092,8.405182e-02,7.905098e-02,1.2306e-01,4.7016e-02,1.0606e-01,4.5046e-02,0.60669007,0.57882361,0.57421875,4.6049e-03,3.2471e-02,1.24843547,1.23142797,1.35449219,1.2306e-01,1.0606e-01,-2.87649303,-2.88338048,-2.85937500,2.4005e-02,1.7118e-02,2.81945911,2.83131176,2.79492188,3.6390e-02,2.4537e-02
2,3,FP16ALT,1.000000e-02,900,1974092,2.884400e-01,7.905098e-02,4.4894e-01,2.8272e-01,4.7681e-01,2.9518e-01,0.60669007,0.57882361,0.12988281,4.4894e-01,4.7681e-01,1.24843547,1.23142797,1.00781250,2.2362e-01,2.4062e-01,-2.87649303,-2.88338048,-2.54687500,3.3651e-01,3.2962e-01,2.81945911,2.83131176,2.95312500,1.2181e-01,1.3367e-01
