test_idx,degree,format,learning_rate,max_iter,cycles,hw_loss,golden_loss,max_abs_err_vs_golden,mean_abs_err_vs_golden,max_abs_err_vs_true,mean_abs_err_vs_true,true_0,golden_0,hw_0,abs_err_vs_golden_0,abs_err_vs_true_0,true_1,golden_1,hw_1,abs_err_vs_golden_1,abs_err_vs_true_1,true_2,golden_2,hw_2,abs_err_vs_golden_2,abs_err_vs_true_2,true_3,golden_3,hw_3,abs_err_vs_golden_3,abs_err_vs_true_3,true_4,golden_4,hw_4,abs_err_vs_golden_4,abs_err_vs_true_4,true_5,golden_5,hw_5,abs_err_vs_golden_5,abs_err_vs_true_5,true_6,golden_6,hw_6,abs_err_vs_golden_6,abs_err_vs_true_6
0,4,FP64,2.500000e-03,3600,12142573,1.392959e+01,6.780877e-02,3.9208e+00,1.6497e+00,3.9365e+00,1.6275e+00,2.70428584,2.68858387,-1.23220859,3.9208e+00,3.9365e+00,1.39196365,1.35231809,3.18302348,1.8307e+00,1.7911e+00,0.59195091,0.63855130,-0.29271677,9.3127e-01,8.8467e-01,-2.06388816,-2.03698592,-2.76807326,7.3109e-01,7.0419e-01,-2.06403288,-2.07759555,-1.24294830,8.3465e-01,8.2108e-01,,,,,,,,,,
0,4,FP32,2.500000e-03,3600,12142573,1.392959e+01,6.780877e-02,3.9208e+00,1.6497e+00,3.9365e+00,1.6275e+00,2.70428584,2.68858387,-1.23220861,3.9208e+00,3.9365e+00,1.39196365,1.35231809,3.18302369,1.8307e+00,1.7911e+00,0.59195091,0.63855130,-0.29271641,9.3127e-01,8.8467e-01,-2.06388816,-2.03698592,-2.76807332,7.3109e-01,7.0419e-01,-2.06403288,-2.07759555,-1.24294829,8.3465e-01,8.2108e-01,,,,,,,,,,
0,4,FP16,2.500000e-03,3600,12142573,1.523922e+01,6.780877e-02,3.5616e+00,1.5529e+00,3.5773e+00,1.5307e+00,2.70428584,2.68858387,-0.87304688,3.5616e+00,3.5773e+00,1.39196365,1.35231809,2.00000000,6.4768e-01,6.0804e-01,0.59195091,0.63855130,-1.44335938,2.0819e+00,2.0353e+00,-2.06388816,-2.03698592,-2.31835938,2.8137e-01,2.5447e-01,-2.06403288,-2.07759555,-0.88574219,1.1919e+00,1.1783e+00,,,,,,,,,,
0,4,FP16ALT,2.500000e-03,3600,12142573,1.795949e+01,6.780877e-02,3.4112e+00,2.0205e+00,3.4269e+00,2.0249e+00,2.70428584,2.68858387,-0.72265625,3.4112e+00,3.4269e+00,1.39196365,1.35231809,-0.97656250,2.3289e+00,2.3685e+00,0.59195091,0.63855130,-1.50781250,2.1464e+00,2.0998e+00,-2.06388816,-2.03698592,-1.14843750,8.8855e-01,9.1545e-01,-2.06403288,-2.07759555,-0.75000000,1.3276e+00,1.3140e+00,,,,,,,,,,
1,3,FP64,1.000000e-02,900,1974092,1.020096e-01,9.313033e-02,1.5440e-01,7.1000e-02,1.4787e-01,6.4241e-02,-0.24450665,-0.26506432,-0.21735293,4.7711e-02,2.7154e-02,-0.99774833,-1.00427951,-0.84988294,1.5440e-01,1.4787e-01,-2.14279909,-2.14148385,-2.16800491,2.6521e-02,2.5206e-02,0.90533084,0.90396278,0.84859331,5.5369e-02,5.6738e-02,,,,,,,,,,,,,,,
1,3,FP32,1.000000e-02,900,1974092,1.020096e-01,9.313033e-02,1.5440e-01,7.1000e-02,1.4787e-01,6.4241e-02,-0.24450665,-0.26506432,-0.21735308,4.7711e-02,2.7154e-02,-0.99774833,-1.00427951,-0.84988278,1.5440e-01,1.4787e-01,-2.14279909,-2.14148385,-2.16800499,2.6521e-02,2.5206e-02,0.90533084,0.90396278,0.84859329,5.5369e-02,5.6738e-02,,,,,,,,,,,,,,,
1,3,FP16,1.000000e-02,900,1974092,1.045805e-01,9.313033e-02,1.8885e-01,7.4339e-02,1.8232e-01,7.8517e-02,-0.24450665,-0.26506432,-0.28955078,2.4486e-02,4.5044e-02,-0.99774833,-1.00427951,-0.81542969,1.8885e-01,1.8232e-01,-2.14279909,-2.14148385,-2.12695312,1.4531e-02,1.5846e-02,0.90533084,0.90396278,0.83447266,6.9490e-02,7.0858e-02,,,,,,,,,,,,,,,
1,3,FP16ALT,1.000000e-02,900,1974092,4.041027e-01,9.313033e-02,7.5056e-01,4.2761e-01,7.7112e-01,4.3179e-01,-0.24450665,-0.26506432,-1.01562500,7.5056e-01,7.7112e-01,-0.99774833,-1.00427951,-0.55468750,4.4959e-01,4.4306e-01,-2.14279909,-2.14148385,-1.79687500,3.4461e-01,3.4592e-01,0.90533084,0.90396278,0.73828125,1.6568e-01,1.6705e-01,,,,,,,,,,,,,,,
2,5,FP64,6.250000e-04,10000,47984799,3.901510e+03,1.998869e-01,7.8743e+01,3.8343e+01,7.8093e+01,3.7704e+01,2.81945911,2.41890001,25.45056088,2.3032e+01,2.2631e+01,1.99465584,0.78827208,18.44700993,1.7659e+01,1.6452e+01,-1.72596534,-1.07568241,-79.81862626,7.8743e+01,7.8093e+01,-1.90905020,-0.73157665,-64.21053648,6.3479e+01,6.2301e+01,-1.89957294,-2.06484274,25.34338440,2.7408e+01,2.7243e+01,-1.17454654,-1.41017072,18.32873854,1.9739e+01,1.9503e+01,,,,,
2,5,FP32,6.250000e-04,10000,47984799,3.901509e+03,1.998869e-01,7.8743e+01,3.8343e+01,7.8093e+01,3.7704e+01,2.81945911,2.41890001,25.45058441,2.3032e+01,2.2631e+01,1.99465584,0.78827208,18.44701385,1.7659e+01,1.6452e+01,-1.72596534,-1.07568241,-79.81873322,7.8743e+01,7.8093e+01,-1.90905020,-0.73157665,-64.21056366,6.3479e+01,6.2302e+01,-1.89957294,-2.06484274,25.34340858,2.7408e+01,2.7243e+01,-1.17454654,-1.41017072,18.32874298,1.9739e+01,1.9503e+01,,,,,
2,5,FP16,6.250000e-04,10000,47984799,2.385778e+02,1.998869e-01,1.4924e+01,7.1985e+00,1.4274e+01,6.5592e+00,2.81945911,2.41890001,3.92382812,1.5049e+00,1.1044e+00,1.99465584,0.78827208,3.14062500,2.3524e+00,1.1460e+00,-1.72596534,-1.07568241,-16.00000000,1.4924e+01,1.4274e+01,-1.90905020,-0.73157665,-14.66406250,1.3932e+01,1.2755e+01,-1.89957294,-2.06484274,3.89062500,5.9555e+00,5.7902e+00,-1.17454654,-1.41017072,3.11132812,4.5215e+00,4.2859e+00,,,,,
2,5,FP16ALT,6.250000e-04,10000,47984799,1.261482e+01,1.998869e-01,3.8486e+00,1.3096e+00,4.2491e+00,1.7562e+00,2.81945911,2.41890001,-1.42968750,3.8486e+00,4.2491e+00,1.99465584,0.78827208,-1.40625000,2.1945e+00,3.4009e+00,-1.72596534,-1.07568241,-1.48437500,4.0869e-01,2.4159e-01,-1.90905020,-0.73157665,0.03515625,7.6673e-01,1.9442e+00,-1.89957294,-2.06484274,-1.42968750,6.3516e-01,4.6989e-01,-1.17454654,-1.41017072,-1.40625000,3.9207e-03,2.3170e-01,,,,,
3,6,FP64,1.562500e-04,10000,64696470,9.976900e+40,3.242206e-01,5.3740e+19,3.3970e+19,5.3740e+19,3.3970e+19,-2.95760217,-2.16268086,-53739671060904067072.00000000,5.3740e+19,5.3740e+19,-2.86162545,-1.92295736,-35605131877034524672.00000000,3.5605e+19,3.5605e+19,0.14864796,-1.44264159,9873569515267686400.00000000,9.8736e+18,9.8736e+18,-0.60083417,-1.21842573,39633353384922595328.00000000,3.9633e+19,3.9633e+19,-2.72000602,-1.87305742,-53595262092158885888.00000000,5.3595e+19,5.3595e+19,2.84253311,2.93853056,-35081926874265305088.00000000,3.5082e+19,3.5082e+19,-1.60337196,-1.73025243,10258026803723223040.00000000,1.0258e+19,1.0258e+19
3,6,FP32,1.562500e-04,10000,64696470,9.976806e+40,3.242206e-01,5.3739e+19,3.3969e+19,5.3739e+19,3.3969e+19,-2.95760217,-2.16268086,-53739457640296087552.00000000,5.3739e+19,5.3739e+19,-2.86162545,-1.92295736,-35604977067898175488.00000000,3.5605e+19,3.5605e+19,0.14864796,-1.44264159,9873534153079652352.00000000,9.8735e+18,9.8735e+18,-0.60083417,-1.21842573,39633216037139251200.00000000,3.9633e+19,3.9633e+19,-2.72000602,-1.87305742,-53595047783103987712.00000000,5.3595e+19,5.3595e+19,2.84253311,2.93853056,-35081774459820965888.00000000,3.5082e+19,3.5082e+19,-1.60337196,-1.73025243,10257989388847808512.00000000,1.0258e+19,1.0258e+19
